  CREATE_STREAM @2024 {NAME:uvm_sequence T:Transactions SCOPE:uvm_test_top.env_instance.sequencer_p STREAM:1869}
  CREATE_STREAM @0 {NAME:uvm_sequence T:Transactions SCOPE:uvm_test_top.env_instance.sequencer_p STREAM:1609}
  CREATE_STREAM @0 {NAME:inst_mem T:Transactions SCOPE:uvm_test_top.env_instance.inst_agent.ins_seqr STREAM:1612}
  CREATE_STREAM @0 {NAME:uvm_sequence T:Transactions SCOPE:uvm_test_top.env_instance.sequencer_p STREAM:1617}
  CREATE_STREAM @0 {NAME:inst_mem T:Transactions SCOPE:uvm_test_top.env_instance.inst_agent.ins_seqr STREAM:1620}
  CREATE_STREAM @0 {NAME:uvm_sequence T:Transactions SCOPE:uvm_test_top.env_instance.sequencer_p STREAM:1625}
  CREATE_STREAM @0 {NAME:inst_mem T:Transactions SCOPE:uvm_test_top.env_instance.inst_agent.ins_seqr STREAM:1628}
  CREATE_STREAM @0 {NAME:uvm_sequence T:Transactions SCOPE:uvm_test_top.env_instance.sequencer_p STREAM:1625}
  CREATE_STREAM @0 {NAME:inst_mem T:Transactions SCOPE:uvm_test_top.env_instance.inst_agent.ins_seqr STREAM:1628}
  CREATE_STREAM @0 {NAME:uvm_sequence T:Transactions SCOPE:uvm_test_top.env_instance.sequencer_p STREAM:1625}
  CREATE_STREAM @0 {NAME:inst_mem T:Transactions SCOPE:uvm_test_top.env_instance.inst_agent.ins_seqr STREAM:1628}
  CREATE_STREAM @0 {NAME:uvm_sequence T:Transactions SCOPE:uvm_test_top.env_instance.sequencer_p STREAM:1625}
  CREATE_STREAM @0 {NAME:inst_mem T:Transactions SCOPE:uvm_test_top.env_instance.inst_agent.ins_seqr STREAM:1628}
  CREATE_STREAM @0 {NAME:uvm_sequence T:Transactions SCOPE:uvm_test_top.env_instance.sequencer_p STREAM:1626}
