Time	Cycle	PC	Insn	Decoded instruction	Register and memory contents
            364	         6	80000080	50362437	lui	x8,0x50362	  x8=0x50362000
            424	         9	80000084	08440413	addi	x8,x8,132	  x8:0x50362000  x8=0x50362084
            484	        12	80000088	fe5674b7	lui	x9,0xfe567	  x9=0xfe567000
            544	        15	8000008c	96348493	addi	x9,x9,-1693	  x9:0xfe567000  x9=0xfe566963
            604	        18	80000090	4515	c.li	x10,5	 x10=0x00000005
            624	        19	80000092	4581	c.li	x11,0	 x11=0x00000000
            664	        21	80000094	fcf29637	lui	x12,0xfcf29	 x12=0xfcf29000
            724	        24	80000098	f0260613	addi	x12,x12,-254	 x12:0xfcf29000 x12=0xfcf28f02
            784	        27	8000009c	fd74a6b7	lui	x13,0xfd74a	 x13=0xfd74a000
            844	        30	800000a0	d2168693	addi	x13,x13,-735	 x13:0xfd74a000 x13=0xfd749d21
            904	        33	800000a4	80000737	lui	x14,0x80000	 x14=0x80000000
            964	        36	800000a8	800007b7	lui	x15,0x80000	 x15=0x80000000
           1024	        39	800000ac	50bdb837	lui	x16,0x50bdb	 x16=0x50bdb000
           1084	        42	800000b0	fb380813	addi	x16,x16,-77	 x16:0x50bdb000 x16=0x50bdafb3
           1144	        45	800000b4	4881	c.li	x17,0	 x17=0x00000000
           1164	        46	800000b6	4905	c.li	x18,1	 x18=0x00000001
           1204	        48	800000b8	4991	c.li	x19,4	 x19=0x00000004
           1224	        49	800000ba	4a01	c.li	x20,0	 x20=0x00000000
           1264	        51	800000bc	80000ab7	lui	x21,0x80000	 x21=0x80000000
           1324	        54	800000c0	4b01	c.li	x22,0	 x22=0x00000000
           1384	        57	800000c2	ff3c4bb7	lui	x23,0xff3c4	 x23=0xff3c4000
           1444	        60	800000c6	9c1b8b93	addi	x23,x23,-1599	 x23:0xff3c4000 x23=0xff3c39c1
           1504	        63	800000ca	f9d50c37	lui	x24,0xf9d50	 x24=0xf9d50000
           1564	        66	800000ce	f27c0c13	addi	x24,x24,-217	 x24:0xf9d50000 x24=0xf9d4ff27
           1624	        69	800000d2	6eec0cb7	lui	x25,0x6eec0	 x25=0x6eec0000
           1684	        72	800000d6	87dc8c93	addi	x25,x25,-1923	 x25:0x6eec0000 x25=0x6eebf87d
           1744	        75	800000da	80000db7	lui	x27,0x80000	 x27=0x80000000
           1804	        78	800000de	80000e37	lui	x28,0x80000	 x28=0x80000000
           1864	        81	800000e2	f377ceb7	lui	x29,0xf377c	 x29=0xf377c000
           1924	        84	800000e6	6dee8e93	addi	x29,x29,1758	 x29:0xf377c000 x29=0xf377c6de
           1984	        87	800000ea	ff058fb7	lui	x31,0xff058	 x31=0xff058000
           2044	        90	800000ee	b01f8f93	addi	x31,x31,-1279	 x31:0xff058000 x31=0xff057b01
           2104	        93	800000f2	0000bd17	auipc	x26,0xb	 x26=0x8000b0f2
           2164	        96	800000f6	d72d0d13	addi	x26,x26,-654	 x26:0x8000b0f2 x26=0x8000ae64
           2184	        97	800000fa	4e85	c.li	x29,1	 x29=0x00000001
           2224	        99	800000fc	4e01	c.li	x28,0	 x28=0x00000000
           2244	       100	800000fe	4c81	c.li	x25,0	 x25=0x00000000
           2284	       102	80000100	4181	c.li	x3,0	  x3=0x00000000
           2344	       105	80000102	07b986b7	lui	x13,0x7b98	 x13=0x07b98000
           2404	       108	80000106	9e468693	addi	x13,x13,-1564	 x13:0x07b98000 x13=0x07b979e4
           2424	       109	8000010a	4605	c.li	x12,1	 x12=0x00000001
           2464	       111	8000010c	7ee20c37	lui	x24,0x7ee20	 x24=0x7ee20000
           2524	       114	80000110	c92c0c13	addi	x24,x24,-878	 x24:0x7ee20000 x24=0x7ee1fc92
           2584	       117	80000114	53051537	lui	x10,0x53051	 x10=0x53051000
           2644	       120	80000118	37a50513	addi	x10,x10,890	 x10:0x53051000 x10=0x5305137a
           2704	       123	8000011c	4885	c.li	x17,1	 x17=0x00000001
           2724	       124	8000011e	4405	c.li	x8,1	  x8=0x00000001
           2764	       126	80000120	4095	c.li	x1,5	  x1=0x00000005
           2824	       129	80000122	003d8b33	add	x22,x27,x3	 x27:0x80000000  x3:0x00000000 x22=0x80000000
           2844	       130	80000126	69e1	c.lui	x19,0x18	 x19=0x00018000
           2884	       132	80000128	587d	c.li	x16,-1	 x16=0xffffffff
           2904	       133	8000012a	9896	c.add	x17,x5	 x17:0x00000001  x5:0x00000000 x17=0x00000001
           2944	       135	8000012c	5c7d	c.li	x24,-1	 x24=0xffffffff
           3064	       141	8000012e	0286b8b3	mulhu	x17,x13,x8	 x13:0x07b979e4  x8:0x00000001 x17=0x00000000
           3084	       142	80000132	ef955e37	lui	x28,0xef955	 x28=0xef955000
           3124	       144	80000136	25ecd3b7	lui	x7,0x25ecd	  x7=0x25ecd000
           3144	       145	8000013a	8e99	c.sub	x13,x14	 x13:0x07b979e4 x14:0x80000000 x13=0x87b979e4
           3184	       147	8000013c	0001	c.addi	x0,0	  x0:0x00000000  x0=0x00000000
           3204	       148	8000013e	49f9	c.li	x19,30	 x19=0x0000001e
           3244	       150	80000140	0494	c.addi4spn	x13,x2,576	 x13=0x00000240
           3264	       151	80000142	62f5	c.lui	x5,0x1d	  x5=0x0001d000
           3304	       153	80000144	63f5	c.lui	x7,0x1d	  x7=0x0001d000
           3324	       154	80000146	4e81	c.li	x29,0	 x29=0x00000000
           3364	       156	80000148	74eb1e37	lui	x28,0x74eb1	 x28=0x74eb1000
           3424	       159	8000014c	ec5e0e13	addi	x28,x28,-315	 x28:0x74eb1000 x28=0x74eb0ec5
           3484	       162	80000150	4d85	c.li	x27,1	 x27=0x00000001
